date,engine,id,mode,query,type
22:12:38   5/13/2018,google,298,timed,matt damon,query
22:12:30   5/13/2018,google,297,timed,halle berry,query
22:12:21   5/13/2018,google,296,timed,hertz,query
22:12:12   5/13/2018,google,295,timed,amazon,query
22:12:05   5/13/2018,google,294,timed,beef recall,query
22:11:58   5/13/2018,google,293,timed,Dukan Diet,query
22:11:51   5/13/2018,google,292,timed,craigslist,query
22:11:44   5/13/2018,google,291,timed,dukan diet,query
22:11:35   5/13/2018,google,290,timed,dukan diet,query
22:11:25   5/13/2018,google,289,timed,auto financing,query
22:11:16   5/13/2018,google,288,timed,tito ortiz,query
22:11:09   5/13/2018,google,287,timed,hugh hefner,query
22:11:01   5/13/2018,google,286,timed,oil rig explosion,query
22:10:52   5/13/2018,google,285,timed,george clooney,query
22:10:45   5/13/2018,google,284,timed,ebay,query
22:10:35   5/13/2018,google,283,timed,Kentucky Derby,query
22:10:28   5/13/2018,google,282,timed,Kentucky Derby,query
22:10:18   5/13/2018,google,281,timed,dell,query
22:10:10   5/13/2018,google,280,timed,NASCAR,query
22:10:01   5/13/2018,google,279,timed,katie holmes,query
22:09:52   5/13/2018,google,278,timed,Molly Ringwald,query
22:09:44   5/13/2018,google,277,timed,einstein horse,query
22:09:37   5/13/2018,google,276,timed,hugh hefner,query
22:09:29   5/13/2018,google,275,timed,Dukan Diet,query
22:09:22   5/13/2018,google,274,timed,ebay,query
22:09:13   5/13/2018,google,273,timed,xbox,query
22:09:06   5/13/2018,google,272,timed,best buy,query
22:08:59   5/13/2018,google,271,timed,Bret Michaels,query
22:08:50   5/13/2018,google,270,timed,amazon,query
22:08:42   5/13/2018,google,269,timed,mariah carey,query
22:08:35   5/13/2018,google,268,timed,xbox,query
22:08:27   5/13/2018,google,267,timed,george clooney,query
22:08:19   5/13/2018,google,266,timed,space shuttle discovery,query
22:08:11   5/13/2018,google,265,timed,dorothy provine,query
22:08:01   5/13/2018,google,264,timed,heather locklear,query
22:07:54   5/13/2018,google,263,timed,michael douglas,query
22:07:45   5/13/2018,google,262,timed,mcafee anti-virus,query
22:07:37   5/13/2018,google,261,timed,matt damon,query
22:07:29   5/13/2018,google,260,timed,hertz,query
22:07:21   5/13/2018,google,259,timed,ipad cases,query
22:07:13   5/13/2018,google,258,timed,david mclaughlin,query
22:07:04   5/13/2018,google,257,timed,box jellyfish,query
22:06:54   5/13/2018,google,256,timed,bret michaels,query
22:06:46   5/13/2018,google,255,timed,m.i.a.,query
22:06:37   5/13/2018,google,254,timed,pampers,query
22:06:30   5/13/2018,google,253,timed,yahoo,query
22:06:23   5/13/2018,google,252,timed,amazon,query
22:06:16   5/13/2018,google,251,timed,netflix,query
22:06:09   5/13/2018,google,250,timed,david mclaughlin,query
